model_id,policy,seed,round,hv,igd
i01o_m1,qlogehvi_mixed,13,2,0.8320483279695633,0.0705827383917781
i01o_m1,qlogehvi_mixed,13,3,0.8320483279695633,0.0705827383917781
i01o_m1,qlogehvi_mixed,13,4,0.8320483279695633,0.0705827383917781
i01o_m1,qlogehvi_mixed,13,5,0.8557701205856544,0.04898577668329344
i01o_m1,qlogehvi_mixed,13,6,0.8557701205856544,0.04898577668329344
i01o_m1,qlogehvi_mixed,13,7,0.8557701205856544,0.04898577668329344
i01o_m1,qlogehvi_mixed,13,8,0.8557701205856544,0.04898577668329344
i01o_m1,qlogehvi_mixed,13,9,0.8557701205856544,0.04898577668329344
i01o_m1,qlogehvi_mixed,13,10,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed,13,11,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed,13,12,0.9302350009746799,0.02507885760390743
i01o_m1,qlogehvi_mixed,13,13,0.9302350009746799,0.02507885760390743
i01o_m1,qlogehvi_mixed,13,14,0.9302350009746799,0.02507885760390743
i01o_m1,qlogehvi_mixed,13,15,0.9302350009746799,0.02507885760390743
