model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i06o_m6,random_seed,11,20,0,1.0,0.8763110771462146,0.8853124324662144,0.05021836741312743,0.04138553133413055,0.8586721457129437,0.8853013417644481,0.8853124324662144,143.7603484999854,0,0
i06o_m6,random_seed,12,20,0,1.0,0.8656460320200078,0.8758326465809496,0.061156378652384526,0.05137196416378352,0.8442723761087239,0.8758326465809496,0.8758326465809496,145.93811090002418,0,0
i06o_m6,random_seed,13,20,0,1.0,0.8723597509554736,0.894850988369193,0.055138190763104986,0.03482538961593136,0.8443227335890342,0.8727923477879285,0.894850988369193,139.37870439996186,0,0
i07o_m7,parego,11,17,3,0.85,0.8443412254203387,0.9109845883294344,0.05289239369482324,0.012846871523703247,0.8205748918513207,0.9005389422276704,0.9109845883294344,82.12896679998084,2,1
i07o_m7,parego,12,17,3,0.85,0.860262450277119,0.9109845883294344,0.06138264505932253,0.012846871523703247,0.791555839057491,0.8427262929795927,0.9109845883294344,110.37158590000763,3,0
i07o_m7,parego,13,19,1,0.95,0.876255311272251,0.9194040522745912,0.04565706475980078,0.004387519460608425,0.8219452397088026,0.8903859107074028,0.9194040522745912,105.08377309999196,1,0
i07o_m7,parego_seed,11,19,1,0.95,0.8722727519294718,0.9159787920089978,0.05039551541125534,0.008293396830699695,0.829837568663596,0.9008424749651349,0.9159787920089978,103.11972149997018,1,0
i07o_m7,parego_seed,12,18,2,0.9,0.8516849696365656,0.8924539863356654,0.07046699960282153,0.03097828897816666,0.814854380731446,0.8477719334806875,0.8924539863356654,102.80559910004376,2,0
i07o_m7,parego_seed,13,19,1,0.95,0.8464293345792214,0.8769944521488799,0.0753503428073382,0.045574390020263617,0.814854380731446,0.8473625590167423,0.8769944521488799,100.79756550004822,1,0
i07o_m7,qlogehvi_mixed,11,18,2,0.9,0.8634322583315667,0.9246658838417062,0.03488682290004426,9.027041541659278e-05,0.8205748918513207,0.9223686674579061,0.9246658838417062,140.94576340001367,2,0
i07o_m7,qlogehvi_mixed,12,18,2,0.9,0.8784492190396533,0.9246658838417062,0.04409455462504325,9.027041541659278e-05,0.791555839057491,0.9222531043607958,0.9246658838417062,143.22398359999352,2,0
i07o_m7,qlogehvi_mixed,13,19,1,0.95,0.8887552759964437,0.9246679574105462,0.03436763549778755,3.632470120053549e-05,0.8112581609424739,0.9246110481792136,0.9246679574105462,142.9808086000703,1,0
